Date,demand
12/1/2022,64
12/2/2022,141
12/3/2022,95
12/5/2022,70
12/6/2022,76
12/7/2022,93
12/8/2022,53
12/9/2022,105
12/10/2022,98
12/12/2022,29
12/13/2022,38
12/14/2022,36
12/15/2022,48
12/16/2022,71
12/17/2022,59
12/21/2022,40
1/2/2023,20
1/3/2023,28
1/4/2023,48
1/5/2023,30
1/6/2023,58
1/7/2023,162
1/9/2023,39
1/10/2023,33
1/11/2023,61
1/12/2023,35
1/13/2023,33
1/14/2023,57
1/16/2023,56
1/17/2023,29
1/18/2023,47
1/19/2023,25
1/20/2023,37
1/21/2023,51
1/23/2023,37
1/24/2023,46
1/25/2023,37
1/26/2023,45
1/27/2023,68
1/28/2023,93
1/30/2023,64
1/31/2023,33
2/1/2023,38
2/2/2023,96
2/3/2023,103
2/4/2023,130
2/6/2023,30
2/7/2023,24
2/8/2023,25
2/9/2023,26
2/11/2023,2
2/14/2023,14
2/15/2023,16
2/21/2023,26
2/22/2023,30
2/23/2023,34
2/24/2023,16
2/25/2023,65
2/27/2023,62
2/28/2023,38
3/1/2023,16
3/2/2023,114
3/3/2023,36
3/4/2023,77
3/6/2023,12
3/7/2023,29
3/8/2023,12
3/9/2023,40
3/10/2023,12
3/11/2023,84
3/13/2023,50
3/14/2023,59
3/15/2023,6
3/16/2023,128
3/17/2023,55
3/18/2023,46
3/19/2023,2
3/20/2023,17
3/21/2023,95
3/23/2023,55
3/24/2023,30
3/25/2023,108
3/27/2023,29
3/28/2023,39
3/29/2023,12
3/30/2023,33
3/31/2023,30
4/1/2023,40
4/3/2023,33
4/4/2023,6
4/5/2023,49
4/6/2023,14
4/8/2023,46
4/11/2023,6
4/12/2023,14
4/13/2023,45
4/14/2023,38
4/15/2023,18
4/17/2023,51
4/18/2023,36
4/19/2023,16
4/20/2023,24
4/21/2023,51
4/22/2023,57
4/24/2023,9
4/25/2023,14
4/26/2023,33
4/27/2023,60
4/28/2023,20
4/29/2023,58
5/2/2023,35
5/3/2023,13
5/4/2023,17
5/5/2023,23
5/6/2023,47
5/8/2023,8
5/9/2023,38
5/10/2023,1
5/11/2023,22
5/12/2023,39
5/13/2023,81
5/15/2023,68
5/16/2023,22
5/17/2023,72
5/19/2023,82
5/20/2023,47
5/22/2023,38
5/23/2023,2
5/24/2023,12
5/25/2023,9
5/26/2023,72
5/27/2023,48
5/30/2023,12
5/31/2023,16
6/1/2023,8
6/2/2023,33
6/3/2023,42
6/5/2023,14
6/6/2023,11
6/7/2023,5
6/9/2023,97
6/10/2023,39
6/12/2023,11
6/13/2023,30
6/14/2023,22
6/15/2023,9
6/16/2023,38
6/17/2023,31
6/19/2023,38
6/20/2023,10
6/21/2023,23
6/22/2023,29
6/23/2023,26
6/24/2023,33
6/26/2023,12
6/27/2023,14
6/28/2023,13
6/29/2023,35
6/30/2023,24
