Date,demand
1/9/2023,0
1/10/2023,0
1/11/2023,0
1/12/2023,0
1/13/2023,0
1/16/2023,0
1/17/2023,1
1/18/2023,0
1/19/2023,13
1/20/2023,10
1/23/2023,20
1/24/2023,12
1/25/2023,10
1/26/2023,13
1/27/2023,19
1/30/2023,9
1/31/2023,11
2/1/2023,8
2/2/2023,33
2/3/2023,14
2/6/2023,11
2/7/2023,9
2/8/2023,26
2/9/2023,12
2/10/2023,20
2/13/2023,16
2/14/2023,18
2/15/2023,13
2/16/2023,38
2/17/2023,31
2/20/2023,25
2/21/2023,18
2/22/2023,19
2/23/2023,15
2/24/2023,23
2/27/2023,17
2/28/2023,12
3/1/2023,11
3/2/2023,36
3/3/2023,53
3/6/2023,20
3/7/2023,29
3/8/2023,29
3/9/2023,10
3/10/2023,30
3/13/2023,15
3/14/2023,20
3/15/2023,40
3/16/2023,25
3/17/2023,50
3/20/2023,16
3/21/2023,16
3/22/2023,6
3/23/2023,19
3/24/2023,28
3/27/2023,2
3/28/2023,8
3/29/2023,26
3/30/2023,27
3/31/2023,24
4/3/2023,24
4/4/2023,22
4/5/2023,25
4/6/2023,36
4/11/2023,28
4/12/2023,49
4/13/2023,42
4/14/2023,18
4/17/2023,54
4/18/2023,51
4/19/2023,49
4/20/2023,60
4/21/2023,41
4/24/2023,42
4/25/2023,25
4/26/2023,48
4/27/2023,35
4/28/2023,51
5/2/2023,45
5/3/2023,36
5/4/2023,56
5/5/2023,26
5/8/2023,35
5/9/2023,46
5/10/2023,45
5/11/2023,43
5/12/2023,59
5/15/2023,61
5/16/2023,46
5/17/2023,60
5/19/2023,34
5/22/2023,50
5/23/2023,56
5/24/2023,39
5/25/2023,19
5/26/2023,10
5/29/2023,25
5/30/2023,44
5/31/2023,25
6/1/2023,47
6/2/2023,34
6/5/2023,24
6/6/2023,31
6/7/2023,47
6/8/2023,32
6/9/2023,54
6/12/2023,52
6/13/2023,43
6/14/2023,40
6/15/2023,46
6/16/2023,61
6/19/2023,55
6/20/2023,38
6/21/2023,35
6/22/2023,11
6/29/2023,22
6/30/2023,23
