Date,demand
1/5/2022,0
1/7/2022,0
1/10/2022,0
1/11/2022,0
1/12/2022,1
1/13/2022,13
1/14/2022,26
1/17/2022,9
1/18/2022,10
1/19/2022,21
1/20/2022,18
1/21/2022,13
1/24/2022,8
1/25/2022,22
1/26/2022,28
1/27/2022,24
1/31/2022,12
2/1/2022,28
2/2/2022,14
2/3/2022,26
2/4/2022,27
2/7/2022,12
2/8/2022,17
2/9/2022,21
2/10/2022,24
2/11/2022,24
2/14/2022,35
2/15/2022,20
2/16/2022,23
2/17/2022,24
2/18/2022,26
2/21/2022,19
2/22/2022,22
2/23/2022,19
2/24/2022,22
2/25/2022,18
2/28/2022,21
3/1/2022,20
3/2/2022,40
3/3/2022,26
3/4/2022,30
3/7/2022,19
3/8/2022,14
3/10/2022,14
