Date,demand
2/1/2024,65
2/2/2024,39
2/5/2024,8
2/6/2024,8
2/7/2024,20
2/8/2024,48
2/9/2024,14
2/12/2024,41
2/13/2024,32
2/14/2024,58
2/15/2024,54
2/16/2024,86
2/19/2024,78
2/20/2024,65
2/21/2024,89
2/22/2024,81
2/23/2024,84
2/26/2024,76
2/27/2024,103
2/29/2024,55
3/1/2024,30
3/4/2024,93
3/5/2024,94
3/6/2024,110
3/7/2024,63
3/8/2024,99
3/11/2024,92
3/12/2024,69
3/13/2024,15
3/14/2024,89
3/15/2024,89
3/20/2024,100
3/21/2024,56
3/22/2024,71
3/26/2024,62
3/27/2024,85
3/28/2024,27
3/29/2024,33
