"date" "demand"
"1" 2015-01-01 91909
"2" 2015-01-02 59945
"3" 2015-01-03 75818
"4" 2015-01-04 58245
"5" 2015-01-05 57416
"6" 2015-01-06 55896
"7" 2015-01-07 65482
"8" 2015-01-08 65629
"9" 2015-01-09 74670
"10" 2015-01-10 90829
"11" 2015-01-11 71130
"12" 2015-01-12 56082
"13" 2015-01-13 61370
"14" 2015-01-14 59982
"15" 2015-01-15 65680
"16" 2015-01-16 82892
"17" 2015-01-17 92192
"18" 2015-01-18 78757
"19" 2015-01-19 49202
"20" 2015-01-20 55192
"21" 2015-01-21 58856
"22" 2015-01-22 62767
"23" 2015-01-23 75620
"24" 2015-01-24 82381
"25" 2015-01-25 74975
"26" 2015-01-26 40036
"27" 2015-01-27 20565
"28" 2015-01-28 57959
"29" 2015-01-29 64675
"30" 2015-01-30 86644
"31" 2015-01-31 99458
"32" 2015-02-01 81836
"33" 2015-02-02 56257
"34" 2015-02-03 65032
"35" 2015-02-04 64317
"36" 2015-02-05 75271
"37" 2015-02-06 85592
"38" 2015-02-07 94325
"39" 2015-02-08 79179
"40" 2015-02-09 58841
"41" 2015-02-10 61695
"42" 2015-02-11 66341
"43" 2015-02-12 73985
"44" 2015-02-13 96360
"45" 2015-02-14 106862
"46" 2015-02-15 91171
"47" 2015-02-16 64592
"48" 2015-02-17 56361
"49" 2015-02-18 66415
"50" 2015-02-19 80777
"51" 2015-02-20 89673
"52" 2015-02-21 89828
"53" 2015-02-22 75426
"54" 2015-02-23 73010
"55" 2015-02-24 68511
"56" 2015-02-25 69355
"57" 2015-02-26 77961
"58" 2015-02-27 94486
"59" 2015-02-28 107205
"60" 2015-03-01 75347
"61" 2015-03-02 63875
"62" 2015-03-03 70065
"63" 2015-03-04 70544
"64" 2015-03-05 57098
"65" 2015-03-06 87929
"66" 2015-03-07 103284
"67" 2015-03-08 80696
"68" 2015-03-09 60547
"69" 2015-03-10 69679
"70" 2015-03-11 68000
"71" 2015-03-12 73657
"72" 2015-03-13 88481
"73" 2015-03-14 100951
"74" 2015-03-15 84608
"75" 2015-03-16 59921
"76" 2015-03-17 68994
"77" 2015-03-18 69855
"78" 2015-03-19 71493
"79" 2015-03-20 84513
"80" 2015-03-21 96552
"81" 2015-03-22 87275
"82" 2015-03-23 62998
"83" 2015-03-24 62165
"84" 2015-03-25 68330
"85" 2015-03-26 72317
"86" 2015-03-27 87159
"87" 2015-03-28 107554
"88" 2015-03-29 87018
"89" 2015-03-30 60956
"90" 2015-03-31 70016
"91" 2015-04-01 70552
"92" 2015-04-02 76355
"93" 2015-04-03 83367
"94" 2015-04-04 95730
"95" 2015-04-05 83371
"96" 2015-04-06 59420
"97" 2015-04-07 65350
"98" 2015-04-08 68344
"99" 2015-04-09 70892
"100" 2015-04-10 81235
"101" 2015-04-11 102999
"102" 2015-04-12 86109
"103" 2015-04-13 60921
"104" 2015-04-14 59922
"105" 2015-04-15 65484
"106" 2015-04-16 72691
"107" 2015-04-17 82088
"108" 2015-04-18 105581
"109" 2015-04-19 90610
"110" 2015-04-20 63212
"111" 2015-04-21 61280
"112" 2015-04-22 68328
"113" 2015-04-23 75878
"114" 2015-04-24 90681
"115" 2015-04-25 105858
"116" 2015-04-26 87531
"117" 2015-04-27 60211
"118" 2015-04-28 59923
"119" 2015-04-29 66124
"120" 2015-04-30 72993
"121" 2015-05-01 90866
"122" 2015-05-02 115017
"123" 2015-05-03 91791
"124" 2015-05-04 61613
"125" 2015-05-05 64643
"126" 2015-05-06 69057
"127" 2015-05-07 74814
"128" 2015-05-08 87185
"129" 2015-05-09 103446
"130" 2015-05-10 91603
"131" 2015-05-11 63714
"132" 2015-05-12 63863
"133" 2015-05-13 70720
"134" 2015-05-14 75113
"135" 2015-05-15 88217
"136" 2015-05-16 106674
"137" 2015-05-17 86517
"138" 2015-05-18 63890
"139" 2015-05-19 65621
"140" 2015-05-20 70425
"141" 2015-05-21 74967
"142" 2015-05-22 82963
"143" 2015-05-23 90850
"144" 2015-05-24 80401
"145" 2015-05-25 60742
"146" 2015-05-26 60284
"147" 2015-05-27 66943
"148" 2015-05-28 71257
"149" 2015-05-29 83773
"150" 2015-05-30 102553
"151" 2015-05-31 90201
"152" 2015-06-01 70615
"153" 2015-06-02 67505
"154" 2015-06-03 68908
"155" 2015-06-04 73106
"156" 2015-06-05 87065
"157" 2015-06-06 102897
"158" 2015-06-07 90854
"159" 2015-06-08 61580
"160" 2015-06-09 61453
"161" 2015-06-10 65254
"162" 2015-06-11 73671
"163" 2015-06-12 86233
"164" 2015-06-13 97671
"165" 2015-06-14 89985
"166" 2015-06-15 63920
"167" 2015-06-16 62463
"168" 2015-06-17 66655
"169" 2015-06-18 68164
"170" 2015-06-19 81717
"171" 2015-06-20 93248
